LOCATION,ENTRY,NAME,REPS
A,288,CLS21-0172;027,1
A,49,CLS21-0050;039,1
A,141,CLS21-0118;007,1
A,77,CLS21-0111;022,1
A,548,CLS21-0758;004,1
A,217,CLS21-0142;040,1
A,631,CLS21-0906;022,1
A,185,CLS21-0142;008,1
A,301,CLS21-0178;003,1
A,48,CLS21-0050;038,1
A,613,CLS21-0906;004,1
A,564,CLS21-0758;020,1
A,258,CLS21-0169;039,1
A,187,CLS21-0142;010,1
A,480,CLS21-0685;001,1
A,482,CLS21-0685;003,1
A,549,CLS21-0758;005,1
A,102,CLS21-0114;012,1
A,375,CLS21-0179;038,1
A,136,CLS21-0118;002,1
A,245,CLS21-0169;026,1
A,170,CLS21-0118;036,1
A,517,CLS21-0755;003,1
A,652,CLS21-0906;043,1
A,436,CLS21-0512;021,1
A,540,CLS21-0755;026,1
A,397,CLS21-0199;020,1
A,594,CLS21-0805;023,1
A,279,CLS21-0172;018,1
A,599,CLS21-0805;028,1
A,353,CLS21-0179;016,1
A,300,CLS21-0178;002,1
A,95,CLS21-0114;005,1
A,330,CLS21-0178;032,1
A,303,CLS21-0178;005,1
A,389,CLS21-0199;012,1
A,177,CLS21-0118;043,1
A,346,CLS21-0179;009,1
A,21,CLS21-0050;011,1
A,66,CLS21-0111;011,1
A,409,CLS21-0199;032,1
A,315,CLS21-0178;017,1
A,378,CLS21-0199;001,1
A,183,CLS21-0142;006,1
A,295,CLS21-0172;034,1
A,355,CLS21-0179;018,1
A,614,CLS21-0906;005,1
A,116,CLS21-0114;026,1
A,255,CLS21-0169;036,1
A,362,CLS21-0179;025,1
A,104,CLS21-0114;014,1
A,260,CLS21-0169;041,1
A,677,CLS21-0911;018,1
A,417,CLS21-0512;002,1
A,368,CLS21-0179;031,1
A,674,CLS21-0911;015,1
A,157,CLS21-0118;023,1
A,150,CLS21-0118;016,1
A,323,CLS21-0178;025,1
A,662,CLS21-0911;003,1
A,320,CLS21-0178;022,1
A,408,CLS21-0199;031,1
A,623,CLS21-0906;014,1
A,390,CLS21-0199;013,1
A,479,CLS21-0622;034,1
A,261,CLS21-0169;042,1
A,216,CLS21-0142;039,1
A,459,CLS21-0622;014,1
A,208,CLS21-0142;031,1
A,601,CLS21-0805;030,1
A,505,CLS21-0685;026,1
A,569,CLS21-0758;025,1
A,165,CLS21-0118;031,1
A,655,CLS21-0906;046,1
A,132,CLS21-0114;042,1
A,585,CLS21-0805;014,1
A,275,CLS21-0172;014,1
A,644,CLS21-0906;035,1
A,547,CLS21-0758;003,1
A,441,CLS21-0512;026,1
A,68,CLS21-0111;013,1
A,490,CLS21-0685;011,1
A,678,CLS21-0911;019,1
A,600,CLS21-0805;029,1
A,455,CLS21-0622;010,1
A,407,CLS21-0199;030,1
A,60,CLS21-0111;005,1
A,250,CLS21-0169;031,1
A,379,CLS21-0199;002,1
A,101,CLS21-0114;011,1
A,580,CLS21-0805;009,1
A,96,CLS21-0114;006,1
A,615,CLS21-0906;006,1
A,235,CLS21-0169;016,1
A,691,CLS21-0911;032,1
A,593,CLS21-0805;022,1
A,229,CLS21-0169;010,1
A,292,CLS21-0172;031,1
A,335,CLS21-0178;037,1
A,15,CLS21-0050;005,1
A,251,CLS21-0169;032,1
A,319,CLS21-0178;021,1
A,317,CLS21-0178;019,1
A,253,CLS21-0169;034,1
A,97,CLS21-0114;007,1
A,581,CLS21-0805;010,1
A,188,CLS21-0142;011,1
B,1,temoin_1,2
B,2,temoin_2,2
B,3,temoin_3,2
B,4,temoin_4,2
B,5,temoin_5,2
B,6,temoin_6,2
B,7,temoin_7,2
B,8,temoin_8,2
B,9,temoin_9,2
B,10,temoin_10,2
B,519,CLS21-0755;005,2
B,496,CLS21-0685;017,2
B,541,CLS21-0755;027,2
B,314,CLS21-0178;016,2
B,281,CLS21-0172;020,2
B,63,CLS21-0111;008,2
B,159,CLS21-0118;025,2
B,106,CLS21-0114;016,2
B,164,CLS21-0118;030,2
